days	c10_mn	c10_sd	c15_mn	c15_sd	c25_mn	c25sd	c50_mn	c50_sd	c75_mn	c75_sd	c100_mn	c100_sd	c150_mn	c150_sd	c180_mn	c180_sd	c200_mn	c200_sd
1566	-9999	-9999	-9999	-9999	-9999	-9999	6	-9999	8.4	-9999	12.36	-9999	13.32	-9999	-9999	-9999	13.08	-9999
1626	2.64	-9999	-9999	-9999	2.52	-9999	4.32	-9999	7.44	-9999	9	-9999	13.56	-9999	-9999	-9999	8.64	-9999
1656	5.4	-9999	-9999	-9999	3.72	-9999	5.28	-9999	7.32	-9999	5.4	-9999	14.28	-9999	-9999	-9999	12.84	-9999
1686	-9999	-9999	-9999	-9999	2.76	-9999	7.2	-9999	7.68	-9999	7.32	-9999	2.28	-9999	-9999	-9999	11.52	-9999
1716	7.44	-9999	-9999	-9999	4.68	-9999	6.84	-9999	8.4	-9999	10.32	-9999	10.44	-9999	-9999	-9999	12.24	-9999
1991	-9999	-9999	-9999	-9999	5.04	-9999	8.28	-9999	9.48	-9999	12	-9999	14.04	-9999	-9999	-9999	-9999	-9999
2021	8.04	-9999	-9999	-9999	5.4	-9999	7.08	-9999	10.08	-9999	11.64	-9999	12.36	-9999	-9999	-9999	-9999	-9999
2051	11.04	-9999	-9999	-9999	11.64	-9999	8.04	-9999	8.52	-9999	10.08	-9999	12.48	-9999	-9999	-9999	-9999	-9999
2327	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2387	7.92	-9999	-9999	-9999	7.92	-9999	8.04	-9999	11.52	-9999	13.56	-9999	14.04	-9999	-9999	-9999	14.28	-9999
2417	9.84	-9999	-9999	-9999	25.56	-9999	6.72	-9999	4.32	-9999	-9999	-9999	-9999	-9999	-9999	-9999	13.44	-9999
2722	1.92	-9999	-9999	-9999	3.54	-9999	3.84	-9999	6.3	-9999	8.7	-9999	12.06	-9999	-9999	-9999	13.56	-9999
2752	3.72	-9999	-9999	-9999	1.8	-9999	5.16	-9999	9.12	-9999	10.08	-9999	12.24	-9999	-9999	-9999	12.12	-9999
2782	8.94	-9999	-9999	-9999	4.2	-9999	5.76	-9999	9.24	-9999	10.74	-9999	12.96	-9999	-9999	-9999	13.2	-9999
