year	doy	hour	gpp	gpp_sd	nee	nee_sd	reco	reco_sd	ch4	ch4_sd
2015	252	9	0.2979	0.2979	-0.1708	-0.1708	0.1271	0.1271	0.0136	0.0136
2015	252	10	0.3212	0.3212	-0.1857	-0.1857	0.1355	0.1355	0.0134	0.0134
2015	283	12	0.2543	0.2543	-0.131	-0.131	0.1233	0.1233	0.007	0.007
2015	284	10	0.2483	0.2483	-0.0807	-0.0807	0.1676	0.1676	0.004	0.004
2015	324	9	-9999	-9999	-9999	-9999	-9999	-9999	0.0013	0.0013
2016	82	9	0.0308	0.0308	-0.0161	-0.0161	0.0147	0.0147	3e-04	3e-04
2016	83	12	-9999	-9999	-9999	-9999	-9999	-9999	2e-04	2e-04
2016	83	13	0.0427	0.0427	-0.0135	-0.0135	0.0292	0.0292	3e-04	3e-04
2016	133	13	0.1394	0.1394	-0.0952	-0.0952	0.0442	0.0442	9e-04	9e-04
2016	134	10	0.1343	0.1343	-0.1022	-0.1022	0.032	0.032	0.0014	0.0014
2016	168	14	0.3816	0.3816	-0.1342	-0.1342	0.2474	0.2474	0.0035	0.0035
2016	199	13	0.7525	0.7525	-0.3366	-0.3366	0.4159	0.4159	0.0055	0.0055
2016	252	14	0.3703	0.3703	-0.2401	-0.2401	0.1302	0.1302	0.0018	0.0018
2016	293	10	0.0806	0.0806	-0.0307	-0.0307	0.0499	0.0499	0.0034	0.0034
2016	342	13	0.0124	0.0124	-0.0115	-0.0115	9e-04	9e-04	4e-04	4e-04
2017	109	9	0.1824	0.1824	-0.1237	-0.1237	0.0587	0.0587	1e-04	1e-04
2017	124	9	0.1658	0.1658	-0.0207	-0.0207	0.1451	0.1451	3e-04	3e-04
2017	124	10	0.3037	0.3037	-0.1673	-0.1673	0.1363	0.1363	2e-04	2e-04
2017	173	8	0.276	0.276	-0.0961	-0.0961	0.1799	0.1799	0.0028	0.0028
2017	199	9	0.3728	0.3728	-0.1851	-0.1851	0.1877	0.1877	0.0065	0.0065
2017	262	10	0.2053	0.2053	-0.0671	-0.0671	0.1382	0.1382	0.0014	0.0014
2017	297	12	0.1196	0.1196	-0.076	-0.076	0.0435	0.0435	0.0029	0.0029
2017	298	10	0.1055	0.1055	-0.0557	-0.0557	0.0498	0.0498	4e-04	4e-04
2017	312	11	-9999	-9999	-9999	-9999	-9999	-9999	4e-04	4e-04
2018	109	9	0.0876	0.0876	-0.0016	-0.0016	0.086	0.086	1e-04	1e-04
2018	131	14	0.0572	0.0572	0.0239	0.0239	0.081	0.081	1e-04	1e-04
2018	160	10	0.058	0.058	0.0566	0.0566	0.1146	0.1146	5e-04	5e-04
2018	214	12	0.2068	0.2068	-0.0744	-0.0744	0.1324	0.1324	0.0013	0.0013
2018	262	12	0.1099	0.1099	-0.0381	-0.0381	0.0718	0.0718	0.0191	0.0191
