days	CH4	CH4_sd
934	0.0545	0.05
992	0.5039	0.05
1034	0.0118	0.05
1264	-0.0006	0.05
1287	0.0907	0.05
1350	0.2122	0.05
1390	0.2864	0.05
1433	0.015	0.05
1560	0.0154	0.05
1630	0.0095	0.05
1663	0.1233	0.05
1744	1.2493	0.05
1909	0.018	0.05
1960	0.0329	0.05
1994	0.0878	0.05
2026	0.1123	0.05
2078	0.1055	0.05
2118	0.183	0.05
2168	0.0264	0.05
2300	0.0386	0.05
2316	0.0159	0.05
2362	0.0988	0.05
2391	0.2004	0.05
2453	0.0861	0.05
2502	0.0778	0.05
2664	0.0161	0.05
2687	0.0106	0.05
2715	0.0102	0.05
2769	0.3113	0.05
2817	0.3617	0.05
