days	GPP	GPP_sd	NEE	NEE_sd	Reco	Rec_sd
936	12.5514	0.94	-4.6809	0.49	7.8705	0.51
991	9.7952	0.94	-6.1633	0.49	3.6319	0.51
1033	0.8011	0.94	-0.0291	0.49	0.772	0.51
1263	13.6806	0.94	-7.7692	0.49	5.9114	0.51
1286	15.3585	0.94	-6.5452	0.49	8.8133	0.51
1350	5.8422	0.94	-2.7182	0.49	3.1239	0.51
1390	2.3592	0.94	-1.326	0.49	1.0332	0.51
1433	0	0.94	0.1953	0.49	0.0707	0.51
1559	0.6883	0.94	0.1233	0.49	0.8116	0.51
1630	9.136	0.94	-5.6113	0.49	3.5247	0.51
1663	11.8224	0.94	-4.7406	0.49	7.0818	0.51
1744	5.6359	0.94	-2.3721	0.49	3.2638	0.51
1785	0.8145	0.94	-0.7579	0.49	0.0567	0.51
1908	2.1536	0.94	-0.8937	0.49	1.2599	0.51
1960	3.6475	0.94	-1.9339	0.49	1.7136	0.51
1994	14.1502	0.94	-6.269	0.49	7.8812	0.51
2027	10.1185	0.94	-3.0057	0.49	7.1128	0.51
2078	7.0772	0.94	-3.3919	0.49	3.6853	0.51
2118	9.8129	0.94	-5.6677	0.49	4.1452	0.51
2167	0.641	0.94	-0.1394	0.49	0.5016	0.51
2300	2.7906	0.94	-1.5845	0.49	1.2061	0.51
2315	5.3711	0.94	-1.6842	0.49	3.687	0.51
2362	9.9836	0.94	-5.3398	0.49	4.6438	0.51
2391	9.8561	0.94	-4.4152	0.49	5.441	0.51
2453	10.2589	0.94	-4.4082	0.49	5.8507	0.51
2502	0.8517	0.94	-0.6036	0.49	0.2482	0.51
2687	2.7345	0.94	-0.841	0.49	1.8935	0.51
2716	1.8594	0.94	1.6751	0.49	3.5346	0.51
2770	6.8566	0.94	-3.2483	0.49	3.6083	0.51
2818	5.4627	0.94	-2.358	0.49	3.1048	0.51
