TIMESTAMP,year,doy,VWC0,VWC20,Watertable,rWatertable
1/1/2016,2016,1,0.55,0.31,275.83,0.15
1/2/2016,2016,2,0.55,0.31,274.81,0.15
1/3/2016,2016,3,0.55,0.31,273.06,0.15
1/4/2016,2016,4,0.54,0.31,271.44,0.15
1/5/2016,2016,5,0.54,0.31,272.02,0.15
1/6/2016,2016,6,0.55,0.31,272.15,0.15
1/7/2016,2016,7,0.55,0.31,272.21,0.15
1/8/2016,2016,8,0.55,0.32,271.38,0.15
1/9/2016,2016,9,0.54,0.3,266.96,0.15
1/10/2016,2016,10,0.51,0.28,264.7,0.14
1/11/2016,2016,11,0.5,0.27,263.08,0.14
1/12/2016,2016,12,0.49,0.26,261.79,0.14
1/13/2016,2016,13,0.48,0.26,261.1,0.14
1/14/2016,2016,14,0.48,0.27,262.75,0.14
1/15/2016,2016,15,0.48,0.27,262.1,0.14
1/16/2016,2016,16,0.46,0.25,254.52,0.13
1/17/2016,2016,17,0.45,0.24,246.75,0.12
1/18/2016,2016,18,0.44,0.24,243.77,0.12
1/19/2016,2016,19,0.42,0.24,242.02,0.12
1/20/2016,2016,20,0.4,0.24,244.46,0.12
1/21/2016,2016,21,0.39,0.24,249.73,0.13
1/22/2016,2016,22,0.38,0.24,250.38,0.13
1/23/2016,2016,23,0.38,0.24,252.65,0.13
1/24/2016,2016,24,0.39,0.25,253.15,0.13
1/25/2016,2016,25,0.41,0.25,250.62,0.13
1/26/2016,2016,26,0.41,0.25,246.62,0.12
1/27/2016,2016,27,0.42,0.25,247.29,0.13
1/28/2016,2016,28,0.43,0.25,247.65,0.13
1/29/2016,2016,29,0.42,0.25,246.85,0.13
1/30/2016,2016,30,0.43,0.26,248.54,0.13
1/31/2016,2016,31,0.43,0.26,247.4,0.13
2/1/2016,2016,32,0.43,0.26,243.65,0.12
2/2/2016,2016,33,0.43,0.25,241.02,0.12
2/3/2016,2016,34,0.43,0.24,240.4,0.12
2/4/2016,2016,35,0.43,0.24,239.42,0.12
2/5/2016,2016,36,0.43,0.23,238.02,0.12
2/6/2016,2016,37,0.43,0.24,239.31,0.12
2/7/2016,2016,38,0.43,0.25,242.31,0.12
2/8/2016,2016,39,0.43,0.24,241.5,0.12
2/9/2016,2016,40,0.42,0.23,235.19,0.11
2/10/2016,2016,41,0.41,0.23,229.71,0.11
2/11/2016,2016,42,0.4,0.22,225.84,0.1
2/12/2016,2016,43,0.36,0.21,224.67,0.1
2/13/2016,2016,44,0.3,0.2,221.12,0.1
2/14/2016,2016,45,0.28,0.18,223.15,0.1
2/15/2016,2016,46,0.27,0.19,232.1,0.11
2/16/2016,2016,47,0.28,0.21,232.42,0.11
2/17/2016,2016,48,0.27,0.2,222.71,0.1
2/18/2016,2016,49,0.27,0.21,228.56,0.11
2/19/2016,2016,50,0.29,0.23,242.31,0.12
2/20/2016,2016,51,0.3,0.24,244.19,0.12
2/21/2016,2016,52,0.32,0.24,235.56,0.11
2/22/2016,2016,53,0.32,0.23,229.56,0.11
2/23/2016,2016,54,0.34,0.24,234,0.11
2/24/2016,2016,55,0.35,0.24,235.5,0.11
2/25/2016,2016,56,0.36,0.24,232.62,0.11
2/26/2016,2016,57,0.38,0.24,232.92,0.11
2/27/2016,2016,58,0.39,0.25,235.44,0.11
2/28/2016,2016,59,0.4,0.25,236.54,0.11
2/29/2016,2016,60,0.4,0.24,230.92,0.11
3/1/2016,2016,61,0.39,0.23,225,0.1
