days	GPP	GPP_sd	NEE	NEE_sd	Reco	Rec_sd
934	8.6674	8.6674	-3.6004	3.6004	5.067	5.067
992	3.4875	3.4875	3.9943	3.9943	7.4818	7.4818
1034	0	0	2.0638	2.0638	1.5012	1.5012
1263	13.7857	13.7857	-7.195	7.195	6.5907	6.5907
1287	13.3704	0.8994	-7.383	1.2179	5.9874	0.3184
1350	6.316	3.3819	-3.7632	3.4537	2.5528	0.0719
1390	3.8418	0.3782	-2.1507	0.2573	1.691	0.6355
1433	0	0	0.294	0.294	0.2114	0.2114
1560	0	0	0.3244	0.3244	0.2864	0.2864
1630	6.9216	0.688	-4.1161	0.5463	2.8055	0.1417
1663	10.3335	1.453	-5.0665	0.6056	5.267	0.8474
1744	3.8522	0.5357	-0.796	0.4774	3.0561	0.0583
1785	0.7705	0.7705	0.0725	0.0725	0.843	0.843
1909	1.398	1.398	-0.3674	0.3674	1.0306	1.0306
1960	4.6437	4.6437	-2.7266	2.7266	1.9171	1.9171
1994	5.0919	3.2795	-0.03	3.1502	5.0619	0.1294
2026	11.3855	0.5572	-6.8528	2.7709	4.5327	2.2136
2078	11.5934	0.5636	-7.1015	0.986	4.492	0.4225
2118	3.3211	0.2691	-1.1734	0.4405	2.1477	0.7096
2168	0.6892	0.0746	-0.1307	0.5258	0.5584	0.6004
2300	3.2204	0.4021	-1.5869	0.2441	1.6334	0.158
2316	7.9957	0.0734	-4.0919	0.8202	3.9038	0.7469
2362	8.3041	3.113	-4.0719	2.143	4.2322	0.97
2391	7.7879	7.7879	-1.3202	1.3202	6.4677	6.4677
2454	10.9502	0.8275	-3.9788	1.2737	6.9714	0.4462
2502	0	0.4499	0.3735	0.3312	0.3542	0.1187
2664	6.3617	6.3617	-1.0335	1.0335	5.3282	5.3282
2715	4.3539	1.3342	-0.3359	0.4138	4.018	1.7481
2754	5.8474	3.6072	-1.5186	2.8971	4.3288	0.7101
2769	7.7546	2.4598	-4.1859	1.6549	3.5687	0.8048
2817	6.7939	0.0669	-2.8669	0.0464	3.9269	0.0206
