days	CH4	CH4_sd
936	0.3506	0.1507
991	0.177	0.0275
1263	0.0609	0.0218
1286	0.1874	0.0503
1350	0.1573	0.0506
1390	0.0987	0.0213
1433	0.0152	0.0024
1559	0.0058	0.0016
1630	0.0151	0.0002
1663	0.1816	0.023
1744	0.3557	0.0072
1785	0.0621	0.0087
1908	0.0148	0.0009
1960	0.0424	0.0058
1994	0.056	0.0063
2027	0.0759	0.0097
2078	0.1663	0.0032
2118	0.1404	0.0179
2167	0.0411	0.0025
2300	0.0171	0.0032
2315	0.0267	0.001
2363	0.1411	0.0299
2391	0.2647	0.0466
2453	0.1007	0.0076
2502	0.0695	0.0042
2664	0.0025	0.0013
2687	0.0085	0.0009
2715	0.0183	0.0014
2770	0.1598	0.0077
2818	0.2143	0.0291
