 year,LAI,gpp_yr,NPP_yr,Ra_yr,Rh_yr,    ET,rain_yr,transp_yr,evap_yr,runoff_yr,GL_yr,       GW_yr,GR_yr,Pool1,Pool2,Pool3,Pool4,Pool5,      Pool6,Pool7,Pool8,out1_yr,out2_yr,out3_yr,      out4_yr,out5_yr,out6_yr,out7_yr,out8_yr,        simuCH4_yr,Pro_sum_yr,Oxi_sum_yr,Fdifu1_yr,    Ebu_sum_unsat_yr,Ebu_sum_sat_yr,Pla_sum_yr
   2011,         1.1216,       648.1930,       284.2741,       446.2192,       349.2517,         0.0031,       647.3796,        56.5560,       363.8466,       380.6540,       172.1368,        25.4353,        86.7018,       162.1320,        69.1471,       191.5041,       165.1667,       297.8245,       362.5485,     86416.4453,     71149.8594,       155.8943,        21.3673,        93.0039,       162.9404,        24.3864,       269.7263,       383.0777,        17.8851,        12.3688,        31.5164,         3.8356,         6.3300,         0.0000,         0.0000,         6.0390,
   2012,         1.1001,       696.1046,       275.7600,       421.2212,       372.6683,         0.0003,       660.5292,        64.8296,       375.8735,       325.4787,       160.8898,        22.9740,        91.8960,       170.5786,        71.5194,       191.0259,       232.1722,       292.4297,       394.2371,     86114.3750,     71223.1562,       164.0182,        21.9788,        92.1452,       214.6366,        22.7234,       279.1349,       362.5995,        17.0049,        11.0518,        31.6897,         6.4624,         4.6515,         0.8327,         0.9295,         5.4708,
   2013,         1.0888,       583.1242,       258.5010,       327.1361,       371.9206,         0.0000,       586.8200,        49.7794,       293.6937,       348.5891,       152.5978,        21.1806,        84.7224,       160.4115,        70.6904,       184.4106,       267.3430,       289.7653,       425.0349,     85867.3359,     71297.5859,       154.2422,        22.5786,        92.5494,       230.9082,        21.1280,       281.9931,       338.8412,        15.9542,        18.4887,        32.0380,         4.7942,         5.9620,         0.0000,         6.4023,         6.1244,
   2011,         1.0765,       633.3452,       260.3008,       372.0903,       424.2949,         0.0030,       647.3796,        55.0738,       364.1953,       344.9668,       152.5406,        21.5520,        86.2080,       160.5087,        70.0185,       180.2660,       268.1278,       286.2822,       446.9677,     85614.0781,     71379.3750,       154.3355,        21.5758,        87.1946,       257.1044,        23.4155,       332.1693,       379.0222,        17.9177,        24.1543,        37.9997,         5.7159,         7.9551,         0.6664,         8.7166,         7.4827,
   2012,         1.0738,       681.1791,       272.7108,       408.4348,       409.0190,         0.0000,       660.5292,        63.2176,       374.5038,       325.9684,       158.4125,        22.8597,        91.4389,       165.1508,        71.1304,       183.7640,       264.5468,       281.7000,       455.6849,     85352.3516,     71453.7500,       158.7990,        21.8177,        88.4594,       242.4972,        21.8763,       321.2183,       359.1558,        17.0477,        19.4806,        34.6359,         7.9852,         5.5594,         1.5798,         7.0730,         6.8482,
   2013,         1.0733,       575.4314,       256.9884,       320.2120,       387.1237,         0.0000,       586.8200,        49.0161,       293.1433,       350.1278,       151.1979,        21.1581,        84.6324,       157.3206,        70.3519,       179.7722,       275.9690,       279.6991,       461.3874,     85121.6562,     71528.6953,       151.2699,        22.4723,        90.2282,       237.6607,        20.3965,       304.9933,       335.9249,        16.0060,        20.9426,        33.3066,         5.0708,         6.3439,         0.0000,         7.9415,         6.6573,
   2011,         1.0673,       628.5432,       259.3734,       367.9867,       430.6201,         0.0029,       647.3796,        54.5914,       363.8988,       345.3658,       151.7189,        21.5309,        86.1236,       158.6915,        69.7548,       177.3867,       268.9529,       276.8869,       465.1761,     84875.1094,     71606.4219,       152.5882,        21.4964,        85.7998,       257.6783,        22.6501,       344.9687,       375.7899,        17.9764,        24.4370,        38.5591,         5.8169,         8.0972,         0.7255,         8.7300,         7.6100,
   2012,         1.0680,       677.9422,       271.9354,       405.7370,       410.3063,         0.0000,       660.5292,        62.8702,       374.2635,       326.2627,       157.7935,        22.8284,        91.3136,       163.9996,        70.9100,       181.8859,       263.2473,       272.9710,       463.0157,     84630.0156,     71684.6562,       157.6920,        21.7528,        87.5626,       241.2572,        21.2012,       326.0826,       356.1093,        17.1036,        20.0392,        34.7333,         8.1370,         5.6302,         1.5386,         7.5013,         6.9078,
   2013,         1.0696,       573.6854,       256.5245,       318.8705,       386.1313,         0.0000,       586.8200,        48.8427,       292.9938,       350.2897,       150.8270,        21.1395,        84.5581,       156.6211,        70.1692,       178.5434,       274.3650,       271.5414,       463.3938,     84394.0391,     71755.3438,       150.5972,        22.4143,        89.6130,       236.2702,        19.8036,       306.1462,       333.0620,        16.0574,        21.1144,        33.2220,         5.0358,         6.3237,         0.0000,         8.1433,         6.6475,
   2011,         1.0648,       627.2836,       259.0315,       367.0657,       428.6833,         0.0029,       647.3796,        54.4654,       363.8239,       345.4248,       151.4491,        21.5165,        86.0660,       158.2269,        69.6077,       176.5891,       267.6487,       269.2993,       464.4648,     84158.0625,     71833.7266,       152.1413,        21.4515,        85.4134,       256.4343,        22.0312,       344.3506,       372.5910,        18.0341,        25.0008,        38.3783,         5.8417,         8.0932,         0.7378,         9.3030,         7.6047,
   2012,         1.0660,       676.8825,       271.5952,       404.9058,       407.9748,         0.0000,       660.5292,        62.7563,       374.1872,       326.3517,       157.5175,        22.8155,        91.2620,       163.6370,        70.7889,       181.3462,       262.2959,       265.9352,       461.0569,     83901.5391,     71909.4219,       157.3433,        21.7164,        87.3047,       240.3918,        20.6565,       324.6725,       353.0832,        17.1583,        20.0259,        34.5438,         8.0241,         5.5931,         1.5982,         7.5758,         6.8571,
   2013,         1.0682,       573.0554,       256.3296,       318.4170,       384.0376,         0.0000,       586.8200,        48.7803,       292.9427,       350.3414,       150.6732,        21.1313,        84.5250,       156.3723,        70.0717,       178.1796,       273.6347,       264.9832,       460.9409,     83677.9141,     71982.2578,       150.3580,        22.3833,        89.4307,       235.6491,        19.3270,       304.5162,       330.2275,        16.1082,        20.9445,        33.0352,         5.0608,         6.2988,         0.0000,         8.0105,         6.6352,
   2011,         1.0638,       626.7568,       258.8629,       366.6544,       426.3509,         0.0029,       647.3796,        54.4126,       363.7943,       345.4468,       151.3119,        21.5102,        86.0407,       158.0375,        69.5298,       176.3447,       267.1262,       263.2115,       461.8523,     83433.8047,     72064.0312,       151.9591,        21.4276,        85.2956,       255.9373,        21.5346,       342.4157,       369.4220,        18.0909,        24.9413,        38.1647,         5.8599,         8.0602,         0.7783,         9.3132,         7.5680,
   2012,         1.0651,       676.3737,       271.4216,       404.6613,       405.8372,         0.0000,       660.5292,        62.7018,       374.1515,       326.3954,       157.3732,        22.8097,        91.2388,       163.4673,        70.7256,       181.1743,       261.9202,       260.3052,       458.4440,     83193.9375,     72137.8672,       157.1800,        21.6973,        87.2234,       240.0517,        20.2204,       322.8416,       350.0808,        17.2121,        19.7600,        34.3571,         8.0655,         5.5644,         1.5868,         7.3853,         6.8104,
   2013,         1.0665,       572.3582,       255.9431,       317.8689,       381.9590,         0.0000,       586.8200,        48.7118,       292.9019,       350.3836,       150.3359,        21.1215,        84.4859,       156.1385,        70.0192,       178.0517,       273.3113,       259.7438,       458.3820,     82967.9375,     72209.3750,       150.1333,        22.3666,        89.3667,       235.3712,        18.9463,       302.8333,       327.4170,        16.1584,        20.8427,        32.8629,         4.9883,         6.2612,         0.0000,         8.0035,         6.5781,
   2011,         1.0628,       626.2582,       258.7488,       366.2897,       424.1364,         0.0029,       647.3796,        54.3625,       363.7613,       345.4726,       151.2377,        21.5022,        86.0090,       157.8445,        69.4830,       176.2355,       266.8077,       258.3539,       459.3396,     82730.6250,     72286.0625,       151.7734,        21.4135,        85.2437,       255.6311,        21.1384,       340.5599,       366.2825,        18.1472,        24.6488,        37.9670,         5.7910,         8.0006,         0.7493,         9.0829,         7.5654,
   2012,         1.0646,       676.1139,       271.3551,       404.2440,       403.7611,         0.0000,       660.5292,        62.6742,       374.1304,       326.4239,       157.3401,        22.8030,        91.2121,       163.3658,        70.6849,       181.0823,       261.6769,       255.8148,       455.9681,     82481.5781,     72361.3750,       157.0826,        21.6851,        87.1804,       239.8314,        19.8727,       321.1057,       347.1057,        17.2655,        19.7472,        34.1831,         7.9658,         5.5537,         1.5936,         7.3728,         6.8208,
