 day,simuCH4_d,pro_sum_d,oxi_sum_d,fdifu1_d,ebu_sum_sat_d,pla_sum_d,CH4V1,CH4V2,CH4V3,CH4V4,CH4V5,    CH4V6,CH4V7,CH4V8,CH4V9,CH4V10,ebu_sum_unsat_d,zwt
      1,         0.0049,         0.0215,         0.0041,         0.0019,         0.0000,         0.0030,         0.0039,         0.5532,         5.9573,         6.9915,         7.0114,         8.4960,         8.4935,         8.4939,         8.4946,         8.4955,         0.0000,       -45.1280
      2,         0.0053,         0.0222,         0.0045,         0.0021,         0.0000,         0.0032,         0.0044,         0.6520,         5.8788,         6.9759,         7.0330,         8.4891,         8.4821,         8.4832,         8.4851,         8.4876,         0.0000,       -45.1724
      3,         0.0050,         0.0204,         0.0036,         0.0017,         0.0000,         0.0033,         0.0037,         0.7431,         5.8045,         6.9606,         7.0536,         8.4825,         8.4713,         8.4732,         8.4763,         8.4802,         0.0000,       -45.2147
      4,         0.0055,         0.0217,         0.0045,         0.0021,         0.0000,         0.0034,         0.0045,         0.8276,         5.7341,         6.9452,         7.0730,         8.4759,         8.4608,         8.4634,         8.4676,         8.4730,         0.0000,       -45.2511
      5,         0.0057,         0.0222,         0.0048,         0.0023,         0.0000,         0.0035,         0.0048,         0.9063,         5.6676,         6.9296,         7.0910,         8.4695,         8.4504,         8.4537,         8.4591,         8.4658,         0.0000,       -45.3244
      6,         0.0059,         0.0220,         0.0048,         0.0023,         0.0000,         0.0036,         0.0049,         0.9791,         5.6045,         6.9142,         7.1080,         8.4633,         8.4404,         8.4444,         8.4508,         8.4588,         0.0000,       -45.3785
      7,         0.0060,         0.0222,         0.0050,         0.0023,         0.0000,         0.0036,         0.0051,         1.0467,         5.5447,         6.8988,         7.1239,         8.4572,         8.4307,         8.4353,         8.4428,         8.4519,         0.0000,       -45.4304
      8,         0.0061,         0.0220,         0.0050,         0.0024,         0.0000,         0.0037,         0.0051,         1.1092,         5.4879,         6.8836,         7.1388,         8.4513,         8.4213,         8.4265,         8.4350,         8.4452,         0.0000,       -45.5913
      9,         0.0058,         0.0206,         0.0043,         0.0020,         0.0000,         0.0038,         0.0045,         1.1666,         5.4338,         6.8687,         7.1530,         8.4455,         8.4123,         8.4181,         8.4277,         8.4389,         0.0000,       -45.7199
     10,         0.0063,         0.0220,         0.0051,         0.0024,         0.0000,         0.0039,         0.0053,         1.2198,         5.3824,         6.8538,         7.1661,         8.4398,         8.4036,         8.4099,         8.4204,         8.4326,         0.0000,       -45.8175
     11,         0.0064,         0.0222,         0.0052,         0.0024,         0.0000,         0.0039,         0.0054,         1.2695,         5.3337,         6.8391,         7.1783,         8.4342,         8.3949,         8.4018,         8.4132,         8.4263,         0.0000,       -45.8801
     12,         0.0064,         0.0222,         0.0053,         0.0025,         0.0000,         0.0040,         0.0055,         1.3154,         5.2874,         6.8245,         7.1897,         8.4288,         8.3865,         8.3939,         8.4062,         8.4202,         0.0000,       -45.9930
     13,         0.0065,         0.0222,         0.0053,         0.0025,         0.0000,         0.0040,         0.0055,         1.3578,         5.2432,         6.8101,         7.2003,         8.4234,         8.3783,         8.3862,         8.3993,         8.4143,         0.0000,       -46.1411
     14,         0.0066,         0.0221,         0.0054,         0.0025,         0.0000,         0.0041,         0.0056,         1.3969,         5.2012,         6.7960,         7.2102,         8.4182,         8.3704,         8.3788,         8.3927,         8.4085,         0.0000,       -46.1921
     15,         0.0066,         0.0219,         0.0054,         0.0025,         0.0000,         0.0041,         0.0056,         1.4329,         5.1610,         6.7822,         7.2195,         8.4131,         8.3628,         8.3717,         8.3864,         8.4030,         0.0000,       -46.2371
