 sdoy, GPP_d,NEE_d,Reco_d,QC(1),QC(6),QC(2),QC(7), QC(3),QC(4),QC678,pheno,QC(5),NPP_d,Rh_d,Ra_d
      1,         0.0000,         0.6360,         0.6360,       146.5135,       350.0107,        67.6425,     86557.6250,       199.7332,       119.5435,    158027.6250,     10922.0000,       300.0243,         0.0000,         0.3422,         0.2938
      2,         0.0048,         0.5444,         0.5492,       146.1280,       350.0222,        67.5826,     86557.2500,       199.4551,       120.0931,    158027.2812,     10922.0000,       300.0498,         0.0000,         0.3543,         0.1948
      3,         0.0005,         0.4643,         0.4649,       145.7435,       350.0337,        67.5227,     86556.8750,       199.1774,       120.6424,    158026.9062,     10922.0000,       300.0756,         0.0000,         0.3506,         0.1143
      4,         0.0079,         0.4909,         0.4988,       145.3601,       350.0455,        67.4628,     86556.5000,       198.9001,       121.1892,    158026.5469,     10922.0000,       300.1007,         0.0000,         0.3521,         0.1468
      5,         0.0131,         0.6309,         0.6440,       144.9777,       350.0581,        67.4031,     86556.1250,       198.6232,       121.7325,    158026.1875,     10922.0000,       300.1255,         0.0000,         0.3566,         0.2874
      6,         0.0031,         0.5503,         0.5534,       144.5962,       350.0706,        67.3434,     86555.7500,       198.3468,       122.2748,    158025.8125,     10922.0000,       300.1505,         0.0000,         0.3546,         0.1987
      7,         0.0013,         0.6388,         0.6402,       144.2158,       350.0836,        67.2837,     86555.3750,       198.0708,       122.8141,    158025.4688,     10922.0000,       300.1754,         0.0000,         0.3573,         0.2828
      8,         0.0067,         0.5493,         0.5560,       143.8363,       350.0969,        67.2241,     86555.0000,       197.7952,       123.3523,    158025.0938,     10922.0000,       300.2003,         0.0000,         0.3556,         0.2004
      9,         0.0124,         0.5097,         0.5221,       143.4579,       350.1102,        67.1646,     86554.6250,       197.5200,       123.8895,    158024.7344,     10922.0000,       300.2255,         0.0000,         0.3534,         0.1687
     10,         0.0135,         0.6430,         0.6565,       143.0805,       350.1241,        67.1051,     86554.2500,       197.2452,       124.4237,    158024.3750,     10922.0000,       300.2504,         0.0000,         0.3563,         0.3001
     11,         0.0351,         0.7805,         0.8156,       142.7040,       350.1383,        67.0457,     86553.8750,       196.9709,       124.9550,    158024.0156,     10922.0000,       300.2753,         0.0000,         0.3593,         0.4563
     12,         0.0333,         0.7623,         0.7955,       142.3286,       350.1529,        66.9864,     86553.5000,       196.6971,       125.4844,    158023.6562,     10922.0000,       300.3001,         0.0000,         0.3594,         0.4362
     13,         0.0235,         0.7867,         0.8102,       141.9541,       350.1678,        66.9270,     86553.1250,       196.4236,       126.0116,    158023.2812,     10922.0000,       300.3250,         0.0000,         0.3599,         0.4503
     14,         0.0075,         0.7348,         0.7422,       141.5806,       350.1830,        66.8679,     86552.7500,       196.1506,       126.5373,    158022.9375,     10922.0000,       300.3499,         0.0000,         0.3593,         0.3829
     15,         0.0056,         0.5794,         0.5850,       141.2081,       350.1983,        66.8087,     86552.3750,       195.8780,       127.0617,    158022.5625,     10922.0000,       300.3748,         0.0000,         0.3573,         0.2278
     16,         0.0037,         0.5376,         0.5413,       140.8366,       350.2137,        66.7496,     86552.0000,       195.6058,       127.5848,    158022.2188,     10922.0000,       300.3999,         0.0000,         0.3559,         0.1854
     17,         0.0000,         0.7277,         0.7277,       140.4660,       350.2298,        66.6906,     86551.6250,       195.3340,       128.1047,    158021.8438,     10922.0000,       300.4245,         0.0000,         0.3597,         0.3680
     18,         0.0045,         0.5481,         0.5526,       140.0965,       350.2460,        66.6317,     86551.2500,       195.0627,       128.6235,    158021.5000,     10922.0000,       300.4487,         0.0000,         0.3574,         0.1952
