 sdoy, GPP_d, NEE_d, Reco_d, NPP_d, Ra_d, QC1, QC2, QC3, QC4,QC5,QC6, Rh_d,QC7,QC8
      1,         0.0000,         0.6360,         0.6360,         0.0000,         0.2938,       146.5135,        67.6425,       199.7332,       119.5435,       300.0243,       350.0107,         0.3422,     86557.6250,     71120.0000
      2,         0.0048,         0.5444,         0.5492,         0.0000,         0.1948,       146.1280,        67.5826,       199.4551,       120.0931,       300.0498,       350.0222,         0.3543,     86557.2500,     71120.0000
      3,         0.0005,         0.4643,         0.4649,         0.0000,         0.1143,       145.7435,        67.5227,       199.1774,       120.6424,       300.0756,       350.0337,         0.3506,     86556.8750,     71120.0000
      4,         0.0079,         0.4909,         0.4988,         0.0000,         0.1468,       145.3601,        67.4628,       198.9001,       121.1892,       300.1007,       350.0455,         0.3521,     86556.5000,     71120.0000
      5,         0.0131,         0.6309,         0.6440,         0.0000,         0.2874,       144.9777,        67.4031,       198.6232,       121.7325,       300.1255,       350.0581,         0.3566,     86556.1250,     71120.0000
      6,         0.0031,         0.5503,         0.5534,         0.0000,         0.1987,       144.5962,        67.3434,       198.3468,       122.2748,       300.1505,       350.0706,         0.3546,     86555.7500,     71120.0000
      7,         0.0013,         0.6388,         0.6402,         0.0000,         0.2828,       144.2158,        67.2837,       198.0708,       122.8141,       300.1754,       350.0836,         0.3573,     86555.3750,     71120.0000
      8,         0.0067,         0.5493,         0.5560,         0.0000,         0.2004,       143.8363,        67.2241,       197.7952,       123.3523,       300.2003,       350.0969,         0.3556,     86555.0000,     71120.0000
      9,         0.0124,         0.5097,         0.5221,         0.0000,         0.1687,       143.4579,        67.1646,       197.5200,       123.8895,       300.2255,       350.1102,         0.3534,     86554.6250,     71120.0000
     10,         0.0135,         0.6430,         0.6565,         0.0000,         0.3001,       143.0805,        67.1051,       197.2452,       124.4237,       300.2504,       350.1241,         0.3563,     86554.2500,     71120.0000
     11,         0.0351,         0.7805,         0.8156,         0.0000,         0.4563,       142.7040,        67.0457,       196.9709,       124.9550,       300.2753,       350.1383,         0.3593,     86553.8750,     71120.0000
     12,         0.0333,         0.7623,         0.7955,         0.0000,         0.4362,       142.3286,        66.9864,       196.6971,       125.4844,       300.3001,       350.1529,         0.3594,     86553.5000,     71120.0000
     13,         0.0235,         0.7867,         0.8102,         0.0000,         0.4503,       141.9541,        66.9270,       196.4236,       126.0116,       300.3250,       350.1678,         0.3599,     86553.1250,     71120.0000
     14,         0.0075,         0.7348,         0.7422,         0.0000,         0.3829,       141.5806,        66.8679,       196.1506,       126.5373,       300.3499,       350.1830,         0.3593,     86552.7500,     71120.0000
     15,         0.0056,         0.5794,         0.5850,         0.0000,         0.2278,       141.2081,        66.8087,       195.8780,       127.0617,       300.3748,       350.1983,         0.3573,     86552.3750,     71120.0000
     16,         0.0037,         0.5376,         0.5413,         0.0000,         0.1854,       140.8366,        66.7496,       195.6058,       127.5848,       300.3999,       350.2137,         0.3559,     86552.0000,     71120.0000
     17,         0.0000,         0.7277,         0.7277,         0.0000,         0.3680,       140.4660,        66.6906,       195.3340,       128.1047,       300.4245,       350.2298,         0.3597,     86551.6250,     71120.0000
     18,         0.0045,         0.5481,         0.5526,         0.0000,         0.1952,       140.0965,        66.6317,       195.0627,       128.6235,       300.4487,       350.2460,         0.3574,     86551.2500,     71120.0000
     19,         0.0077,         0.5623,         0.5700,         0.0000,         0.2131,       139.7279,        66.5727,       194.7919,       129.1407,       300.4729,       350.2627,         0.3569,     86550.8750,     71120.0000
     20,         0.0025,         0.5040,         0.5065,         0.0000,         0.1508,       139.3603,        66.5140,       194.5215,       129.6567,       300.4974,       350.2791,         0.3556,     86550.5000,     71120.0000
     21,         0.0000,         0.4365,         0.4365,         0.0000,         0.0859,       138.9936,        66.4552,       194.2515,       130.1729,       300.5221,       350.2952,         0.3506,     86550.1250,     71120.0000
     22,         0.0034,         0.4667,         0.4701,         0.0000,         0.1162,       138.6279,        66.3965,       193.9820,       130.6862,       300.5468,       350.3118,         0.3539,     86549.7500,     71120.0000
     23,         0.0000,         0.5237,         0.5237,         0.0000,         0.1706,       138.2632,        66.3379,       193.7129,       131.1979,       300.5714,       350.3286,         0.3531,     86549.3750,     71120.0000
     24,         0.0031,         0.7617,         0.7648,         0.0000,         0.4058,       137.8994,        66.2793,       193.4443,       131.7051,       300.5956,       350.3465,         0.3591,     86549.0000,     71120.0000
     25,         0.0208,         0.7792,         0.8001,         0.0000,         0.4404,       137.5366,        66.2208,       193.1761,       132.2104,       300.6197,       350.3649,         0.3596,     86548.6250,     71120.0000
     26,         0.0270,         0.9044,         0.9314,         0.0000,         0.5704,       137.1747,        66.1624,       192.9083,       132.7132,       300.6439,       350.3836,         0.3610,     86548.2500,     71120.0000
