 month,GPP_m,NPP_m,Reco_m,NEE_m,Rh_m,Ra_m,RLEAV_m, RWOOD_m,RROOT_m,Rh4_m,Rh5_m,Rh6_m,Rh7_m,Rh8_m,pheno,NSC_yr,add_yr,store_yr, QC(1),QC(2),QC(3),QC(4),QC(5),QC(6),QC(7),QC(8), wcl(1),wcl(2),wcl(3),zwt,thawd,snowd,  ch4emission,ch4pro,ch4oxi,ch4difu,ch4ebusat,ch4pla, ch4v1,ch4v2,ch4v3,ch4v4,ch4v5,ch4v6,ch4v7,ch4v8,ch4v9,ch4v10,unsatebu
      1,         0.3336,         0.0000,        14.0710,        13.7373,        13.8510,         0.2200,         0.1652,         0.0068,         0.0480,         3.6778,         0.2814,         6.2225,         3.3610,         0.3082,       136.0000,        14.4654,         0.0000,         0.0727,       143.4448,        68.8998,       173.2437,       283.6976,       255.8040,       455.8375,     82129.7109,     72473.5312,         0.9258,         0.9477,         0.9483,       -54.7829,       150.0000,         0.2120,         0.3276,         0.8139,         0.1931,         0.0781,         0.1195,         0.1300,         0.0061,         1.8400,         4.0270,         6.0178,         7.1865,         7.7271,         7.8316,         7.8921,         7.9560,         8.0215,         0.0000
      2,         3.2914,         0.0027,        13.8033,        10.5119,        13.7611,         0.0422,         0.0310,         0.0015,         0.0097,         3.7605,         0.2785,         6.1172,         3.3021,         0.3029,       136.0000,        14.4654,         0.0000,         0.0727,       132.5454,        67.1144,       166.2414,       293.1922,       256.6792,       456.1736,     82124.0859,     72473.5312,         0.9529,         0.9446,         0.9465,       -47.9615,       150.0000,         0.4940,         0.4004,         0.8094,         0.1543,         0.1466,         0.1200,         0.1338,         0.0066,         1.8821,         4.0537,         6.0282,         7.2758,         7.8459,         7.9436,         7.9982,         8.0562,         8.1159,         0.0000
      3,         8.2365,         0.0000,        13.9350,         5.6986,        13.8762,         0.0589,         0.0432,         0.0020,         0.0136,         3.8807,         0.2798,         6.1153,         3.2979,         0.3025,       136.0000,        14.4654,         0.0000,         0.0727,       122.4730,        65.3887,       159.5732,       301.3040,       257.5060,       456.6572,     82118.4609,     72473.5312,         0.8604,         0.9404,         0.9437,       -68.5464,       150.0000,         0.5330,         0.4062,         0.7613,         0.1997,         0.0699,         0.2014,         0.1349,         0.0058,         1.9535,         4.0954,         5.9183,         7.2840,         7.9095,         8.0139,         8.0700,         8.1276,         8.1864,         0.0000
      4,        24.8467,         0.9427,        19.5762,        -5.2704,        15.7931,         3.7831,         2.9093,         0.1775,         0.6963,         4.5379,         0.3202,         6.8863,         3.7085,         0.3402,       136.0000,        14.4654,         0.0000,         0.0727,       113.6301,        63.7780,       153.4593,       306.7082,       258.2026,       457.4211,     82111.4453,     72474.8750,         0.9525,         0.9362,         0.9408,        16.4027,       150.0000,         0.0000,         0.7186,         1.1460,         0.0585,         0.4466,         0.0875,         0.1845,         0.0549,         1.7227,         4.0144,         5.7049,         7.2270,         8.0068,         8.1298,         8.1922,         8.2533,         8.3150,         0.0000
      5,        60.5902,        50.2339,        63.0366,         2.4464,        35.2432,        27.7934,        21.5405,         1.7667,         4.4861,        10.2864,         0.7292,        15.2756,         8.1996,         0.7523,       129.0000,        14.4654,         0.0000,         0.0727,       144.9512,        63.9303,       154.4342,       299.2409,       257.9281,       459.3408,     82091.0000,     72483.0391,         0.9527,         0.9378,         0.9414,       -47.2555,       150.0000,         0.0000,         1.7481,         2.6349,         0.4733,         0.4124,         0.6776,         0.6581,         0.0117,         1.0816,         3.4845,         4.7356,         6.3899,         8.1318,         8.3972,         8.5297,         8.6308,         8.7095,         0.0000
      6,        99.9501,        50.6305,       102.8284,         2.8783,        53.7304,        49.0979,        37.2810,         3.4422,         8.3747,        15.2030,         1.1205,        23.6260,        12.6222,         1.1587,       129.0000,        14.4654,         0.0000,         0.0727,       163.5665,        66.1456,       163.5632,       282.8255,       256.7300,       461.3123,     82058.5859,     72498.0391,         0.9523,         0.9316,         0.9384,        41.4449,       150.0000,         0.0000,         2.5109,         4.6368,         0.7405,         0.7516,         0.8556,         0.9036,         0.1607,         1.4552,         3.6780,         4.7184,         6.2260,         8.2873,         8.6534,         8.8412,         8.9913,         9.1106,         0.0000
      7,       138.7211,        59.8352,       150.5975,        11.8764,        83.4891,        67.1084,        49.3726,         5.1412,        12.5945,        22.2001,         1.7760,        37.6375,        20.0350,         1.8405,       129.0000,        14.4654,         0.0000,         0.0727,       179.9027,        70.3279,       180.3622,       250.1213,       253.9659,       461.7278,     82006.6016,     72513.0469,         0.9526,         0.9329,         0.9386,         2.6035,       150.0000,         0.0000,         6.1668,         9.7569,         0.8578,         2.9196,         1.7319,         1.5154,         0.2772,         2.3510,         4.9746,         5.7622,         6.7663,         8.9886,         9.3555,         9.5404,         9.6978,         9.8296,         0.0000
      8,       137.9567,        54.7795,       149.9568,        12.0000,        79.1215,        70.8353,        53.6644,         5.3973,        11.7736,        19.0839,         1.6941,        36.8622,        19.6726,         1.8087,       129.0000,        14.4654,         0.0000,         0.0727,       192.5267,        73.8984,       194.4767,       226.7068,       251.4816,       458.6746,     81955.4219,     72527.4297,         0.8782,         0.9344,         0.9394,       -67.5735,       150.0000,         0.0000,         7.1110,         9.6393,         0.7639,         2.9398,         2.4575,         1.7138,         0.0039,         1.8488,         4.8624,         5.6446,         6.6120,         9.0655,         9.4409,         9.6199,         9.7790,         9.9188,         0.0000
      9,        90.0120,        26.5482,       111.7775,        21.7655,        48.8560,        62.9214,        50.2105,         4.5613,         8.1497,        11.0842,         1.0373,        23.1556,        12.4350,         1.1441,       129.0000,        14.4654,         0.0000,         0.0727,       190.5255,        74.8289,       197.9308,       224.0381,       250.5736,       455.8489,     81924.3750,     72539.5391,         0.7375,         0.8575,         0.9418,       -95.4568,       150.0000,         0.0000,         2.6430,         3.5620,         1.1330,         0.0713,         1.5881,         0.9835,         0.0071,         0.5124,         3.5565,         4.4786,         5.7209,         8.1784,         8.5851,         8.7827,         8.9599,         9.1174,         0.3628
     10,        50.0059,        15.7483,        81.5632,        31.5573,        31.8589,        49.7043,        40.7567,         3.1781,         5.7695,         7.2479,         0.6689,        15.0651,         8.1288,         0.7482,       129.0000,        14.4654,         0.0000,         0.0727,       183.4903,        74.6325,       196.8609,       230.1469,       250.5624,       454.1331,     81903.7266,     72546.8203,         0.8616,         0.9414,         0.9443,       -69.5910,       150.0000,         0.0000,         1.3384,         2.1034,         0.8195,         0.0674,         0.6381,         0.6328,         0.0041,         0.7238,         3.2466,         4.2264,         5.5509,         7.6007,         7.9841,         8.1722,         8.3402,         8.4881,         0.3640
