year	doy	hour	gpp	gpp_sd	nee	nee_sd	reco	reco_sd	ch4	ch4_sd
2015	283	10	0.3614	0.3614	-0.1968	-0.1968	0.1646	0.1646	0.0521	0.0521
2015	283	15	0.1829	0.1829	-0.0625	-0.0625	0.1204	0.1204	0.0148	0.0148
2015	324	13	0.0376	0.0376	-0.0027	-0.0027	0.0349	0.0349	0.0026	0.0026
2016	82	13	0.0375	0.0375	-0.0067	-0.0067	0.0308	0.0308	6.00E-04	6.00E-04
2016	83	10	0.0363	0.0363	-0.0066	-0.0066	0.0297	0.0297	8.00E-04	8.00E-04
2016	134	9	0.0841	0.0841	-0.0227	-0.0227	0.0614	0.0614	0.0018	0.0018
2016	134	11	0.0793	0.0793	-0.0325	-0.0325	0.0469	0.0469	0.0014	0.0014
2016	168	7	0.0721	0.0721	0.0738	0.0738	0.1459	0.1459	0.0037	0.0037
2016	200	12	0.5809	0.5809	-0.2346	-0.2346	0.3463	0.3463	0.0046	0.0046
2016	252	12	0.5052	0.5052	-0.3503	-0.3503	0.1548	0.1548	0.0044	0.0044
2016	292	10	0.2293	0.2293	-0.14	-0.14	0.0894	0.0894	0.0076	0.0076
2016	342	10	0.0286	0.0286	0.0046	0.0046	0.0332	0.0332	0.0011	0.0011
2017	109	15	0.0561	0.0561	0.0043	0.0043	0.0604	0.0604	0.0016	0.0016
2017	125	10	0.2692	0.2692	-0.0967	-0.0967	0.1725	0.1725	7.00E-04	7.00E-04
2017	171	10	0.2624	0.2624	-0.0964	-0.0964	0.166	0.166	0.0041	0.0041
2017	200	13	0.2446	0.2446	-0.0269	-0.0269	0.2178	0.2178	0.0083	0.0083
2017	262	13	0.3611	0.3611	0.0243	0.0243	0.3854	0.3854	0.0036	0.0036
2017	311	11	0.0424	0.0424	-0.0232	-0.0232	0.0193	0.0193	0.0032	0.0032
2018	108	9	0.0926	0.0926	-0.0378	-0.0378	0.0548	0.0548	7.00E-04	7.00E-04
2018	131	9	0.1363	0.1363	-0.037	-0.037	0.0993	0.0993	5.00E-04	5.00E-04
2018	159	10	0.0426	0.0426	0.0902	0.0902	0.1328	0.1328	4.00E-04	4.00E-04
2018	213	11	0.5157	0.5157	-0.0601	-0.0601	0.4556	0.4556	0.0133	0.0133
2018	261	13	0.076	0.076	0.164	0.164	0.2401	0.2401	0.0154	0.0154
