days	GPP	GPP_sd	NEE	NEE_sd	Reco	Rec_sd
934	8.2202	8.2202	-3.8003	3.8003	4.4199	4.4199
992	1.1794	1.1794	4.9682	4.9682	6.1476	6.1476
1034	0.2075	0.2075	1.0047	1.0047	1.2121	1.2121
1263	3.0996	3.0996	-0.3158	0.3158	2.7838	2.7838
1287	6.5745	0.1541	-1.8703	0.23	4.7042	0.3841
1350	5.6265	0.5081	-1.4874	0.1449	4.1391	0.3632
1390	5.6367	0.1179	-3.8182	0.1061	1.8186	0.0118
1433	0	0	0.7263	0.7263	0.2334	0.2334
1560	0	0	0.602	0.602	0.5794	0.5794
1630	8.5307	1.508	-6.205	2.0365	2.3257	0.5285
1663	6.5001	1.8934	-3.1627	1.4909	3.3375	0.4025
1744	5.72	0.8364	-3.0142	0.2748	2.7058	0.5616
1909	0.5631	0.5631	-0.3815	0.3815	0.1816	0.1816
1960	3.2503	0.7236	-1.4328	0.2779	1.8175	0.4457
1994	4.6303	0.3047	-0.5763	0.5133	4.054	0.818
2026	11.8888	4.642	-5.1533	5.5242	6.7355	0.8822
2078	17.0968	1.5466	-12.228	2.5753	4.8687	1.0287
2118	6.3384	3.2445	-3.7077	3.3675	2.6307	0.123
2168	0.7346	0.2076	-0.1283	0.254	0.6062	0.0464
2300	3.3077	3.1758	-0.376	0.7549	2.9317	2.4209
2316	10.9428	6.612	-5.5188	5.4692	5.424	1.1428
2362	13.9642	5.4581	-8.0388	6.0585	5.9254	0.6004
2391	11.3504	2.4815	-4.3448	1.2247	7.0055	1.2567
2453	6.4293	0.4963	-3.0172	0.6645	3.412	0.1682
2502	7.1671	4.8721	-2.7932	2.576	4.3738	2.2961
2687	4.4892	7.6439	-1.8355	5.8979	2.6537	1.746
2715	8.7847	8.7847	-2.0086	2.0086	6.7761	6.7761
2769	9.4252	2.2096	-3.303	2.5934	6.1222	0.3838
2817	5.7804	5.7804	-1.8376	1.8376	3.9427	3.9427
