days	c10_mn	c10_sd	c15_mn	c15_sd	c25_mn	c25sd	c50_mn	c50_sd	c75_mn	c75_sd	c100_mn	c100_sd	c150_mn	c150_sd	c180_mn	c180_sd	c200_mn	c200_sd
1566	-9999	-9999	-9999	-9999	-9999	-9999	7.32	-9999	6.6	-9999	12	-9999	9.72	-9999	-9999	-9999	10.08	-9999
1626	0.36	-9999	-9999	-9999	1.8	-9999	6.96	-9999	9.84	-9999	11.88	-9999	10.2	-9999	-9999	-9999	11.52	-9999
1656	1.92	-9999	-9999	-9999	4.32	-9999	9.36	-9999	4.8	-9999	11.64	-9999	9.6	-9999	-9999	-9999	12.72	-9999
1686	7.56	-9999	-9999	-9999	9.24	-9999	10.56	-9999	11.4	-9999	10.32	-9999	11.76	-9999	-9999	-9999	-9999	-9999
1716	4.8	-9999	-9999	-9999	11.16	-9999	9.72	-9999	11.16	-9999	10.08	-9999	10.32	-9999	-9999	-9999	10.08	-9999
1991	-9999	-9999	-9999	-9999	-9999	-9999	12.96	-9999	13.68	-9999	14.76	-9999	13.08	-9999	-9999	-9999	11.76	-9999
2021	-9999	-9999	-9999	-9999	12.6	-9999	9.6	-9999	12.36	-9999	13.08	-9999	10.08	-9999	-9999	-9999	13.56	-9999
2051	-9999	-9999	-9999	-9999	20.28	-9999	11.16	-9999	10.44	-9999	12.12	-9999	10.44	-9999	-9999	-9999	14.04	-9999
2327	1.92	-9999	-9999	-9999	11.16	-9999	15.36	-9999	13.68	-9999	-9999	-9999	-9999	-9999	-9999	-9999	5.04	-9999
2387	4.68	-9999	-9999	-9999	3.84	-9999	8.04	-9999	11.4	-9999	4.68	-9999	4.44	-9999	-9999	-9999	8.16	-9999
2417	-9999	-9999	-9999	-9999	53.64	-9999	-9999	-9999	3.24	-9999	7.08	-9999	10.44	-9999	-9999	-9999	12.84	-9999
2722	5.52	-9999	-9999	-9999	5.04	-9999	10.92	-9999	9.12	-9999	12.84	-9999	12.12	-9999	-9999	-9999	12.6	-9999
2752	-9999	-9999	-9999	-9999	6.72	-9999	19.2	-9999	2.76	-9999	17.28	-9999	16.08	-9999	-9999	-9999	18.96	-9999
2782	-9999	-9999	-9999	-9999	-9999	-9999	10.32	-9999	8.4	-9999	12.42	-9999	9.24	-9999	-9999	-9999	11.88	-9999
