days	GPP	GPP_sd	NEE	NEE_sd	Reco	Rec_sd
936	13.7694	1.34	-6.1786	1	7.5908	0.6
991	1.396	1.34	2.7981	1	4.1941	0.6
1033	0.4127	1.34	0.496	1	0.9086	0.6
1263	12.7535	1.34	-8.6083	1	4.1452	0.6
1286	15.1665	1.34	-7.8647	1	7.3018	0.6
1350	6.3212	1.34	-3.2172	1	3.1039	0.6
1391	2.5116	1.34	-0.906	1	1.6056	0.6
1433	0.3355	1.34	-0.07	1	0.2655	0.6
1630	10.9692	1.34	-7.2012	1	3.768	0.6
1663	4.9898	1.34	0.851	1	5.8407	0.6
1744	6.0573	1.34	-2.6118	1	3.4456	0.6
1785	2.2944	1.34	-1.0599	1	1.2346	0.6
1908	10.7294	1.34	-2.7693	1	7.96	0.6
1960	5.6323	1.34	-2.8206	1	2.8118	0.6
1994	17.7451	1.34	-10.9332	1	6.8119	0.6
2027	6.6122	1.34	-3.334	1	3.2782	0.6
2078	7.2102	1.34	0.9299	1	8.1402	0.6
2118	11.4732	1.34	-9.4953	1	1.9779	0.6
2167	0.6408	1.34	0.5636	1	1.2044	0.6
2300	2.5948	1.34	0.1631	1	2.7579	0.6
2315	7.8769	1.34	-2.3709	1	5.506	0.6
2363	11.6924	1.34	-4.8826	1	6.8098	0.6
2390	8.9337	1.34	-2.7959	1	6.1377	0.6
2453	17.5548	1.34	-11.9581	1	5.5967	0.6
2503	0	1.34	1.9702	1	0.2915	0.6
2716	0	1.34	3.6951	1	3.3001	0.6
2770	5.5609	1.34	-0.7073	1	4.8536	0.6
2818	6.5581	1.34	-1.0456	1	5.5125	0.6
