days	CH4	CH4_sd
936	0.2218	0.064
991	0.1813	0.0263
1033	0.04	0.0086
1263	0.0318	0.0011
1286	0.2508	0.0665
1350	0.1947	0.0182
1391	0.1557	0.0105
1433	0.0294	0.0051
1559	0.0189	0.0131
1630	0.1691	0.0374
1663	0.3202	0.0446
1744	1.3374	0.0811
1785	0.2497	0.1215
1908	0.0199	0.003
1960	0.8667	0.2181
1994	0.2847	0.0097
2027	0.3082	0.0396
2078	0.3983	0.0446
2118	0.113	0.0156
2167	0.1275	0.0152
2300	0.1285	0.0135
2315	0.7159	0.051
2363	1.1765	0.1412
2390	0.2594	0.0504
2453	-0.0011	0.0006
2503	0.2688	0.0755
2664	0.0088	0.0019
2687	0.0012	0.0005
2716	0.2833	0.0239
2770	0.0911	0.0053
2818	0.0539	0.0178
