days	CH4	CH4_sd
936	0.2218	0.08
991	0.1813	0.08
1033	0.04	0.08
1263	0.0318	0.08
1286	0.2508	0.08
1350	0.1947	0.08
1391	0.1557	0.08
1433	0.0294	0.08
1559	0.0189	0.08
1630	0.1691	0.08
1663	0.3202	0.08
1744	1.3374	0.08
1785	0.2497	0.08
1908	0.0199	0.08
1960	0.8667	0.08
1994	0.2847	0.08
2027	0.3082	0.08
2078	0.3983	0.08
2118	0.113	0.08
2167	0.1275	0.08
2300	0.1285	0.08
2315	0.7159	0.08
2363	1.1765	0.08
2390	0.2594	0.08
2453	-0.0011	0.08
2503	0.2688	0.08
2664	0.0088	0.08
2687	0.0012	0.08
2716	0.2833	0.08
2770	0.0911	0.08
2818	0.0539	0.08
