 day,simuCH4_d,pro_sum_d,oxi_sum_d,fdifu1_d,ebu_sum_sat_d,pla_sum_d,CH4V1,CH4V2,CH4V3,CH4V4,CH4V5,    CH4V6,CH4V7,CH4V8,CH4V9,CH4V10,ebu_sum_unsat_d,zwt
      1,         0.0089,         0.0293,         0.0049,         0.0045,         0.0000,         0.0044,         0.0095,         1.8269,         3.9889,         5.9408,         7.0148,         7.5842,         7.7313,         7.8156,         7.8958,         7.9704,         0.0000,       -48.8765
      2,         0.0185,         0.0289,         0.0052,         0.0047,         0.0093,         0.0044,         0.0100,         1.8305,         3.9895,         5.9508,         7.0256,         7.5901,         7.7347,         7.8176,         7.8971,         7.9714,         0.0000,       -49.1536
      3,         0.0083,         0.0267,         0.0043,         0.0038,         0.0000,         0.0044,         0.0084,         1.8513,         3.9901,         5.9605,         7.0367,         7.5964,         7.7385,         7.8202,         7.8989,         7.9730,         0.0000,       -49.3402
      4,         0.0105,         0.0282,         0.0050,         0.0045,         0.0016,         0.0044,         0.0096,         1.8616,         3.9912,         5.9698,         7.0472,         7.6026,         7.7423,         7.8228,         7.9007,         7.9745,         0.0000,       -49.5011
      5,         0.0126,         0.0289,         0.0052,         0.0047,         0.0035,         0.0044,         0.0099,         1.8623,         3.9941,         5.9786,         7.0566,         7.6084,         7.7458,         7.8251,         7.9024,         7.9758,         0.0000,       -49.6890
      6,         0.0091,         0.0286,         0.0052,         0.0046,         0.0000,         0.0045,         0.0098,         1.8689,         4.0081,         5.9871,         7.0657,         7.6142,         7.7495,         7.8277,         7.9042,         7.9773,         0.0000,       -49.8576
      7,         0.0092,         0.0288,         0.0052,         0.0046,         0.0001,         0.0045,         0.0098,         1.8679,         4.0203,         5.9954,         7.0744,         7.6198,         7.7530,         7.8301,         7.9059,         7.9787,         0.0000,       -50.0277
      8,         0.0262,         0.0285,         0.0052,         0.0046,         0.0172,         0.0045,         0.0097,         1.8686,         4.0255,         6.0034,         7.0829,         7.6255,         7.7567,         7.8327,         7.9079,         7.9803,         0.0000,       -50.3170
      9,         0.0180,         0.0267,         0.0045,         0.0039,         0.0096,         0.0045,         0.0084,         1.8845,         4.0341,         6.0111,         7.0915,         7.6314,         7.7606,         7.8357,         7.9101,         7.9822,         0.0000,       -50.5588
     10,         0.0095,         0.0284,         0.0052,         0.0045,         0.0005,         0.0045,         0.0097,         1.9026,         4.0391,         6.0184,         7.0995,         7.6371,         7.7644,         7.8385,         7.9123,         7.9841,         0.0000,       -50.7686
     11,         0.0093,         0.0286,         0.0054,         0.0047,         0.0001,         0.0045,         0.0100,         1.9085,         4.0405,         6.0254,         7.1067,         7.6423,         7.7680,         7.8411,         7.9143,         7.9856,         0.0000,       -50.9393
