 day,snowdepth
      1,         0.2107
      2,         0.2107
      3,         0.2107
      4,         0.2107
      5,         0.2120
      6,         0.2120
      7,         0.2120
      8,         0.2120
      9,         0.2120
     10,         0.2120
     11,         0.2120
     12,         0.2120
     13,         0.2120
     14,         0.2120
     15,         0.2120
     16,         0.2120
     17,         0.2120
     18,         0.2120
     19,         0.2120
     20,         0.2120
     21,         0.2120
     22,         0.2120
     23,         0.2120
     24,         0.2120
     25,         0.2120
     26,         0.2120
     27,         0.2120
     28,         0.2120
     29,         0.2120
     30,         0.2120
     31,         0.2120
     32,         0.2120
     33,         0.2120
     34,         0.2120
     35,         0.2120
     36,         0.2120
     37,         0.2120
     38,         0.2120
     39,         0.2120
     40,         0.2120
     41,         0.2120
     42,         0.2120
     43,         0.2120
     44,         0.2120
     45,         0.4207
     46,         0.4607
     47,         0.4598
     48,         0.4588
     49,         0.4578
     50,         0.4578
     51,         0.4578
     52,         0.4578
     53,         0.4578
     54,         0.4578
     55,         0.4578
     56,         0.4590
     57,         0.4590
     58,         0.4590
     59,         0.4628
     60,         0.4940
     61,         0.4940
     62,         0.4940
     63,         0.4940
     64,         0.4940
     65,         0.4940
     66,         0.4990
     67,         0.5178
     68,         0.5215
     69,         0.5215
     70,         0.5215
     71,         0.5253
     72,         0.5365
     73,         0.5390
     74,         0.5390
     75,         0.5378
     76,         0.5367
     77,         0.5354
     78,         0.5354
     79,         0.5354
     80,         0.5342
     81,         0.5330
     82,         0.5330
     83,         0.5330
     84,         0.5330
     85,         0.5330
     86,         0.5330
     87,         0.5330
     88,         0.5330
     89,         0.5330
     90,         0.5330
     91,         0.5330
     92,         0.5318
     93,         0.5304
     94,         0.5292
     95,         0.5280
     96,         0.5292
     97,         0.5281
     98,         0.5267
     99,         0.2872
    100,         0.0000
    101,         0.0000
    102,         0.0000
    103,         0.0000
    104,         0.0000
    105,         0.0000
    106,         0.0000
    107,         0.1475
    108,         0.1713
    109,         0.1738
    110,         0.1738
    111,         0.1725
    112,         0.1711
    113,         0.1696
    114,         0.1682
    115,         0.0000
    116,         0.0000
    117,         0.0000
    118,         0.0000
    119,         0.0000
    120,         0.0000
    121,         0.0000
    122,         0.0113
    123,         0.0099
    124,         0.0082
    125,         0.0000
    126,         0.0000
    127,         0.0000
    128,         0.0000
    129,         0.0000
    130,         0.0000
    131,         0.0000
    132,         0.0000
    133,         0.0000
    134,         0.0000
    135,         0.0000
    136,         0.0000
    137,         0.0000
    138,         0.0000
    139,         0.0000
    140,         0.0000
    141,         0.0000
    142,         0.0000
    143,         0.0000
    144,         0.0000
    145,         0.0000
    146,         0.0000
    147,         0.0000
    148,         0.0000
    149,         0.0000
    150,         0.0000
    151,         0.0000
    152,         0.0000
    153,         0.0000
    154,         0.0000
    155,         0.0000
    156,         0.0000
    157,         0.0000
    158,         0.0000
    159,         0.0000
    160,         0.0000
    161,         0.0000
    162,         0.0000
    163,         0.0000
    164,         0.0000
    165,         0.0000
    166,         0.0000
    167,         0.0000
    168,         0.0000
    169,         0.0000
    170,         0.0000
    171,         0.0000
    172,         0.0000
    173,         0.0000
    174,         0.0000
    175,         0.0000
    176,         0.0000
    177,         0.0000
    178,         0.0000
    179,         0.0000
    180,         0.0000
    181,         0.0000
    182,         0.0000
    183,         0.0000
    184,         0.0000
    185,         0.0000
    186,         0.0000
    187,         0.0000
    188,         0.0000
    189,         0.0000
    190,         0.0000
    191,         0.0000
    192,         0.0000
    193,         0.0000
    194,         0.0000
    195,         0.0000
    196,         0.0000
    197,         0.0000
    198,         0.0000
    199,         0.0000
    200,         0.0000
