 sdoy, GPP_d, NEE_d, Reco_d, NPP_d, Ra_d, QC1, QC2, QC3, QC4,QC5,QC6, Rh_d,QC7,QC8
      1,         0.0000,         0.5186,         0.5186,         0.0000,         0.0525,       112.8470,       197.4319,       165.4047,       263.1559,       282.0165,       456.7329,         0.4661,     84262.3438,     71806.8594
      2,         0.0038,         0.4864,         0.4902,         0.0000,         0.0275,       112.4612,       197.3656,       165.1747,       263.5118,       282.0488,       456.7342,         0.4627,     84262.1562,     71806.8594
      3,         0.0004,         0.4699,         0.4703,         0.0000,         0.0126,       112.0767,       197.2993,       164.9449,       263.8698,       282.0815,       456.7360,         0.4577,     84261.9688,     71806.8594
      4,         0.0066,         0.4650,         0.4716,         0.0000,         0.0126,       111.6935,       197.2330,       164.7155,       264.2244,       282.1140,       456.7379,         0.4590,     84261.7812,     71806.8594
      5,         0.0106,         0.4727,         0.4833,         0.0000,         0.0187,       111.3116,       197.1667,       164.4864,       264.5741,       282.1462,       456.7397,         0.4646,     84261.5938,     71806.8594
      6,         0.0025,         0.4678,         0.4703,         0.0000,         0.0086,       110.9310,       197.1004,       164.2576,       264.9232,       282.1785,       456.7419,         0.4617,     84261.4062,     71806.8594
      7,         0.0011,         0.4709,         0.4720,         0.0000,         0.0073,       110.5517,       197.0341,       164.0292,       265.2689,       282.2108,       456.7441,         0.4647,     84261.2188,     71806.8594
      8,         0.0054,         0.4591,         0.4645,         0.0000,         0.0020,       110.1738,       196.9680,       163.8013,       265.6138,       282.2430,       456.7468,         0.4625,     84261.0312,     71806.8594
      9,         0.0100,         0.4500,         0.4601,         0.0000,         0.0000,       109.7971,       196.9021,       163.5738,       265.9592,       282.2756,       456.7495,         0.4601,     84260.8438,     71806.8594
     10,         0.0109,         0.4511,         0.4620,         0.0000,         0.0000,       109.4217,       196.8361,       163.3468,       266.3004,       282.3080,       456.7526,         0.4620,     84260.6562,     71806.8594
     11,         0.0285,         0.4368,         0.4653,         0.0000,         0.0000,       109.0476,       196.7702,       163.1202,       266.6374,       282.3402,       456.7558,         0.4653,     84260.4688,     71806.8594
     12,         0.0269,         0.4382,         0.4650,         0.0000,         0.0000,       108.6747,       196.7043,       162.8940,       266.9720,       282.3717,       456.7593,         0.4650,     84260.2812,     71806.8594
     13,         0.0190,         0.4463,         0.4653,         0.0000,         0.0000,       108.3031,       196.6384,       162.6683,       267.3043,       282.4032,       456.7630,         0.4653,     84260.0938,     71806.8594
     14,         0.0059,         0.4582,         0.4641,         0.0000,         0.0000,       107.9329,       196.5725,       162.4429,       267.6353,       282.4347,       456.7669,         0.4641,     84259.9062,     71806.8594
     15,         0.0045,         0.4565,         0.4610,         0.0000,         0.0000,       107.5638,       196.5068,       162.2180,       267.9662,       282.4663,       456.7712,         0.4610,     84259.7188,     71806.8594
     16,         0.0029,         0.4560,         0.4590,         0.0000,         0.0000,       107.1961,       196.4412,       161.9936,       268.2969,       282.4982,       456.7756,         0.4590,     84259.5312,     71806.8594
     17,         0.0000,         0.4633,         0.4633,         0.0000,         0.0000,       106.8296,       196.3757,       161.7696,       268.6227,       282.5297,       456.7802,         0.4633,     84259.3438,     71806.8594
     18,         0.0036,         0.4565,         0.4601,         0.0000,         0.0000,       106.4643,       196.3101,       161.5461,       268.9484,       282.5614,       456.7852,         0.4601,     84259.1562,     71806.8594
     19,         0.0062,         0.4528,         0.4590,         0.0000,         0.0000,       106.1003,       196.2446,       161.3229,       269.2729,       282.5933,       456.7903,         0.4590,     84258.9688,     71806.8594
     20,         0.0020,         0.4551,         0.4571,         0.0000,         0.0000,       105.7375,       196.1790,       161.1003,       269.5969,       282.6254,       456.7956,         0.4571,     84258.7812,     71806.8594
     21,         0.0000,         0.4506,         0.4506,         0.0000,         0.0000,       105.3760,       196.1138,       160.8781,       269.9236,       282.6579,       456.8011,         0.4506,     84258.5938,     71806.8594
     22,         0.0027,         0.4516,         0.4543,         0.0000,         0.0000,       105.0157,       196.0486,       160.6563,       270.2464,       282.6900,       456.8066,         0.4543,     84258.4062,     71806.8594
     23,         0.0000,         0.4530,         0.4530,         0.0000,         0.0000,       104.6567,       195.9834,       160.4350,       270.5677,       282.7223,       456.8121,         0.4530,     84258.2188,     71806.8594
     24,         0.0025,         0.4575,         0.4600,         0.0000,         0.0000,       104.2989,       195.9182,       160.2141,       270.8821,       282.7541,       456.8181,         0.4600,     84258.0312,     71806.8594
     25,         0.0166,         0.4441,         0.4607,         0.0000,         0.0000,       103.9423,       195.8530,       159.9936,       271.1942,       282.7858,       456.8242,         0.4607,     84257.8438,     71806.8594
     26,         0.0214,         0.4406,         0.4621,         0.0000,         0.0000,       103.5869,       195.7879,       159.7735,       271.5034,       282.8169,       456.8308,         0.4621,     84257.6562,     71806.8594
     27,         0.0378,         0.4247,         0.4625,         0.0000,         0.0000,       103.2327,       195.7228,       159.5539,       271.8106,       282.8477,       456.8373,         0.4625,     84257.4688,     71806.8594
     28,         0.0058,         0.4562,         0.4620,         0.0000,         0.0000,       102.8798,       195.6580,       159.3346,       272.1161,       282.8784,       456.8441,         0.4620,     84257.2812,     71806.8594
     29,         0.0114,         0.4499,         0.4613,         0.0000,         0.0000,       102.5280,       195.5932,       159.1158,       272.4204,       282.9093,       456.8510,         0.4613,     84257.0938,     71806.8594
     30,         0.0077,         0.4499,         0.4576,         0.0000,         0.0000,       102.1774,       195.5284,       158.8973,       272.7249,       282.9406,       456.8584,         0.4576,     84256.9062,     71806.8594
     31,         0.0028,         0.4531,         0.4559,         0.0000,         0.0000,       101.8281,       195.4635,       158.6793,       273.0287,       282.9721,       456.8660,         0.4559,     84256.7188,     71806.8594
     32,         0.0061,         0.4488,         0.4549,         0.0000,         0.0000,       101.4799,       195.3987,       158.4619,       273.3319,       283.0035,       456.8731,         0.4549,     84256.5312,     71806.8594
     33,         0.0112,         0.4412,         0.4524,         0.0000,         0.0000,       101.1330,       195.3341,       158.2448,       273.6349,       283.0351,       456.8803,         0.4524,     84256.3438,     71806.8594
     34,         0.0367,         0.4203,         0.4569,         0.0000,         0.0000,       100.7872,       195.2697,       158.0285,       273.9324,       283.0666,       456.8882,         0.4569,     84256.1562,     71806.8594
     35,         0.0615,         0.3983,         0.4598,         0.0000,         0.0000,       100.4426,       195.2052,       157.8126,       274.2266,       283.0977,       456.8963,         0.4597,     84255.9688,     71806.8594
     36,         0.0935,         0.3671,         0.4605,         0.0000,         0.0000,       100.0992,       195.1408,       157.5971,       274.5181,       283.1289,       456.9046,         0.4605,     84255.7812,     71806.8594
     37,         0.0458,         0.4133,         0.4591,         0.0000,         0.0000,        99.7569,       195.0765,       157.3822,       274.8087,       283.1603,       456.9131,         0.4591,     84255.5938,     71806.8594
     38,         0.0048,         0.4483,         0.4532,         0.0000,         0.0000,        99.4158,       195.0124,       157.1678,       275.1010,       283.1913,       456.9214,         0.4532,     84255.4062,     71806.8594
     39,         0.0163,         0.4346,         0.4509,         0.0000,         0.0000,        99.0759,       194.9483,       156.9540,       275.3938,       283.2223,       456.9298,         0.4509,     84255.2188,     71806.8594
     40,         0.0088,         0.4408,         0.4496,         0.0000,         0.0000,        98.7372,       194.8843,       156.7408,       275.6855,       283.2535,       456.9384,         0.4496,     84255.0312,     71806.8594
     41,         0.0136,         0.4316,         0.4452,         0.0000,         0.0000,        98.3996,       194.8206,       156.5282,       275.9781,       283.2847,       456.9466,         0.4452,     84254.8438,     71806.8594
     42,         0.0327,         0.4148,         0.4475,         0.0000,         0.0000,        98.0632,       194.7568,       156.3161,       276.2671,       283.3158,       456.9551,         0.4475,     84254.6562,     71806.8594
     43,         0.0772,         0.3731,         0.4503,         0.0000,         0.0000,        97.7279,       194.6931,       156.1045,       276.5524,       283.3469,       456.9641,         0.4502,     84254.4688,     71806.8594
     44,         0.3005,         0.1581,         0.4585,         0.0000,         0.0012,        97.3938,       194.6289,       155.8915,       276.8315,       283.3778,       456.9732,         0.4574,     84254.2812,     71806.8594
     45,         0.1283,         0.3283,         0.4566,         0.0000,         0.0001,        97.0608,       194.5638,       155.6747,       277.1065,       283.4093,       456.9829,         0.4565,     84254.0938,     71806.8594
     46,         0.2738,         0.1847,         0.4585,         0.0000,         0.0008,        96.7289,       194.4986,       155.4583,       277.3792,       283.4407,       456.9929,         0.4577,     84253.9062,     71806.8594
     47,         0.7418,        -0.2725,         0.4693,         0.0018,         0.0115,        96.3991,       194.4343,       155.2422,       277.6501,       283.4720,       457.0030,         0.4578,     84253.7188,     71806.8594
     48,         0.1993,         0.2650,         0.4643,         0.0000,         0.0055,        96.0695,       194.3691,       155.0264,       277.9188,       283.5035,       457.0134,         0.4588,     84253.5312,     71806.8594
     49,         0.0276,         0.4279,         0.4556,         0.0000,         0.0000,        95.7410,       194.3039,       154.8109,       278.1888,       283.5350,       457.0239,         0.4556,     84253.3438,     71806.8594
     50,         0.0103,         0.4474,         0.4577,         0.0000,         0.0000,        95.4137,       194.2387,       154.5956,       278.4600,       283.5668,       457.0345,         0.4577,     84253.1562,     71806.8594
     51,         0.0345,         0.4260,         0.4605,         0.0000,         0.0000,        95.0875,       194.1735,       154.3807,       278.7273,       283.5983,       457.0454,         0.4605,     84252.9688,     71806.8594
     52,         0.0689,         0.3931,         0.4621,         0.0000,         0.0000,        94.7624,       194.1083,       154.1661,       278.9928,       283.6298,       457.0563,         0.4621,     84252.7812,     71806.8594
     53,         0.0650,         0.3971,         0.4622,         0.0000,         0.0000,        94.4384,       194.0432,       153.9518,       279.2578,       283.6615,       457.0673,         0.4621,     84252.5938,     71806.8594
     54,         0.0209,         0.4436,         0.4644,         0.0000,         0.0000,        94.1154,       193.9780,       153.7378,       279.5192,       283.6930,       457.0784,         0.4644,     84252.4062,     71806.8594
     55,         0.0178,         0.4465,         0.4643,         0.0000,         0.0000,        93.7937,       193.9128,       153.5241,       279.7804,       283.7246,       457.0898,         0.4643,     84252.2188,     71806.8594
     56,         0.0045,         0.4558,         0.4602,         0.0000,         0.0000,        93.4730,       193.8476,       153.3106,       280.0434,       283.7566,       457.1011,         0.4602,     84252.0312,     71806.8594
     57,         0.0074,         0.4485,         0.4560,         0.0000,         0.0000,        93.1534,       193.7824,       153.0975,       280.3083,       283.7888,       457.1123,         0.4560,     84251.8438,     71806.8594
     58,         0.0464,         0.4147,         0.4611,         0.0000,         0.0000,        92.8349,       193.7172,       152.8846,       280.5680,       283.8206,       457.1238,         0.4611,     84251.6562,     71806.8594
     59,         0.1077,         0.3554,         0.4631,         0.0000,         0.0001,        92.5175,       193.6520,       152.6721,       280.8250,       283.8516,       457.1355,         0.4630,     84251.4688,     71806.8594
     60,         0.0519,         0.4116,         0.4635,         0.0000,         0.0000,        92.2012,       193.5870,       152.4598,       281.0797,       283.8828,       457.1476,         0.4635,     84251.2812,     71806.8594
     61,         0.0085,         0.4502,         0.4587,         0.0000,         0.0000,        91.8859,       193.5221,       152.2479,       281.3361,       283.9140,       457.1593,         0.4587,     84251.0938,     71806.8594
     62,         0.0433,         0.4192,         0.4625,         0.0000,         0.0000,        91.5718,       193.4573,       152.0362,       281.5876,       283.9451,       457.1715,         0.4625,     84250.9062,     71806.8594
     63,         0.0592,         0.4052,         0.4644,         0.0000,         0.0000,        91.2587,       193.3925,       151.8249,       281.8365,       283.9759,       457.1840,         0.4644,     84250.7188,     71806.8594
     64,         0.0649,         0.3993,         0.4643,         0.0000,         0.0000,        90.9467,       193.3277,       151.6138,       282.0847,       284.0069,       457.1965,         0.4643,     84250.5312,     71806.8594
     65,         0.0510,         0.4134,         0.4644,         0.0000,         0.0000,        90.6357,       193.2629,       151.4033,       282.3307,       284.0378,       457.2092,         0.4644,     84250.3438,     71806.8594
     66,         0.0726,         0.3923,         0.4650,         0.0000,         0.0000,        90.3258,       193.1981,       151.1935,       282.5749,       284.0688,       457.2220,         0.4650,     84250.1562,     71806.8594
     67,         0.1384,         0.3246,         0.4630,         0.0000,         0.0001,        90.0170,       193.1337,       150.9843,       282.8194,       284.1001,       457.2348,         0.4629,     84249.9688,     71806.8594
     68,         0.2007,         0.2644,         0.4651,         0.0000,         0.0002,        89.7092,       193.0693,       150.7760,       283.0593,       284.1310,       457.2480,         0.4649,     84249.7812,     71806.8594
     69,         0.2425,         0.2223,         0.4648,         0.0000,         0.0004,        89.4025,       193.0052,       150.5684,       283.2971,       284.1618,       457.2613,         0.4644,     84249.5938,     71806.8594
     70,         0.2629,         0.2016,         0.4644,         0.0000,         0.0006,        89.0968,       192.9412,       150.3617,       283.5336,       284.1921,       457.2746,         0.4639,     84249.4062,     71806.8594
     71,         0.0450,         0.4193,         0.4642,         0.0000,         0.0000,        88.7922,       192.8771,       150.1551,       283.7680,       284.2224,       457.2884,         0.4642,     84249.2188,     71806.8594
     72,         0.0982,         0.3646,         0.4627,         0.0000,         0.0000,        88.4886,       192.8130,       149.9485,       284.0021,       284.2529,       457.3021,         0.4627,     84249.0312,     71806.8594
     73,         0.4306,         0.0363,         0.4669,         0.0000,         0.0024,        88.1861,       192.7491,       149.7428,       284.2337,       284.2833,       457.3156,         0.4645,     84248.8438,     71806.8594
     74,         0.4798,        -0.0126,         0.4672,         0.0000,         0.0030,        87.8846,       192.6854,       149.5379,       284.4629,       284.3137,       457.3296,         0.4642,     84248.6562,     71806.8594
     75,         0.4145,         0.0500,         0.4645,         0.0000,         0.0031,        87.5841,       192.6218,       149.3338,       284.6919,       284.3441,       457.3437,         0.4614,     84248.4688,     71806.8594
     76,         0.5095,        -0.0389,         0.4706,         0.0000,         0.0046,        87.2846,       192.5580,       149.1289,       284.9173,       284.3745,       457.3579,         0.4660,     84248.2812,     71806.8594
     77,         0.1503,         0.3162,         0.4664,         0.0000,         0.0009,        86.9862,       192.4939,       148.9234,       285.1424,       284.4046,       457.3725,         0.4655,     84248.0938,     71806.8594
     78,         0.2817,         0.1817,         0.4634,         0.0000,         0.0006,        86.6888,       192.4300,       148.7188,       285.3677,       284.4350,       457.3866,         0.4628,     84247.9062,     71806.8594
     79,         0.0966,         0.3705,         0.4671,         0.0000,         0.0000,        86.3924,       192.3660,       148.5141,       285.5887,       284.4651,       457.4014,         0.4671,     84247.7188,     71806.8594
     80,         0.2666,         0.2037,         0.4704,         0.0000,         0.0004,        86.0970,       192.3016,       148.3083,       285.8075,       284.4959,       457.4163,         0.4699,     84247.5312,     71806.8594
     81,         0.1073,         0.3601,         0.4674,         0.0000,         0.0000,        85.8026,       192.2373,       148.1030,       286.0263,       284.5266,       457.4312,         0.4674,     84247.3438,     71806.8594
     82,         0.1061,         0.3591,         0.4652,         0.0000,         0.0000,        85.5093,       192.1733,       147.8987,       286.2443,       284.5568,       457.4463,         0.4652,     84247.1562,     71806.8594
     83,         0.1618,         0.3001,         0.4618,         0.0000,         0.0001,        85.2169,       192.1095,       147.6957,       286.4632,       284.5873,       457.4611,         0.4618,     84246.9688,     71806.8594
     84,         0.1804,         0.2801,         0.4605,         0.0000,         0.0001,        84.9256,       192.0461,       147.4938,       286.6805,       284.6176,       457.4758,         0.4605,     84246.7812,     71806.8594
     85,         0.1530,         0.3057,         0.4588,         0.0000,         0.0001,        84.6352,       191.9830,       147.2931,       286.8965,       284.6475,       457.4907,         0.4587,     84246.5938,     71806.8594
     86,         0.1876,         0.2686,         0.4562,         0.0000,         0.0002,        84.3458,       191.9202,       147.0935,       287.1122,       284.6775,       457.5056,         0.4561,     84246.4062,     71806.8594
     87,         0.2871,         0.1680,         0.4551,         0.0000,         0.0005,        84.0574,       191.8577,       146.8951,       287.3267,       284.7075,       457.5207,         0.4545,     84246.2188,     71806.8594
     88,         0.3863,         0.0689,         0.4552,         0.0000,         0.0014,        83.7701,       191.7955,       146.6978,       287.5392,       284.7371,       457.5359,         0.4538,     84246.0312,     71806.8594
     89,         0.4323,         0.0224,         0.4547,         0.0000,         0.0021,        83.4836,       191.7337,       146.5020,       287.7502,       284.7667,       457.5513,         0.4525,     84245.8438,     71806.8594
     90,         0.2882,         0.1642,         0.4524,         0.0000,         0.0010,        83.1982,       191.6722,       146.3074,       287.9593,       284.7957,       457.5667,         0.4514,     84245.6562,     71806.8594
     91,         0.1507,         0.3046,         0.4553,         0.0000,         0.0001,        82.9137,       191.6102,       146.1115,       288.1655,       284.8248,       457.5823,         0.4553,     84245.4688,     71806.8594
     92,         0.6420,        -0.1724,         0.4696,         0.0000,         0.0053,        82.6302,       191.5472,       145.9124,       288.3678,       284.8545,       457.5983,         0.4643,     84245.2812,     71806.8594
     93,         0.0510,         0.4178,         0.4688,         0.0000,         0.0018,        82.3477,       191.4835,       145.7116,       288.5689,       284.8846,       457.6146,         0.4670,     84245.0938,     71806.8594
     94,         0.3014,         0.1707,         0.4721,         0.0000,         0.0005,        82.0662,       191.4194,       145.5092,       288.7668,       284.9152,       457.6308,         0.4716,     84244.9062,     71806.8594
