 day,CH4emit_d,watertable,swc1,swc2,swc3,stsurf,st1,st2
      1,         0.0087,       -48.5558,         0.0953,         0.0947,         0.0948,        -0.2046,         0.2983,         0.8246
      2,         0.0243,       -48.8613,         0.0953,         0.0948,         0.0948,        -0.2954,         0.2100,         0.7387
      3,         0.0081,       -49.0774,         0.0953,         0.0948,         0.0948,        -0.4475,         0.0842,         0.6229
      4,         0.0096,       -49.2595,         0.0953,         0.0948,         0.0948,        -0.4362,         0.1196,         0.6717
      5,         0.0148,       -49.4445,         0.0952,         0.0948,         0.0948,        -0.3287,         0.2321,         0.7867
      6,         0.0089,       -49.6063,         0.0952,         0.0948,         0.0948,        -0.3779,         0.1712,         0.7163
      7,         0.0091,       -49.7691,         0.0951,         0.0948,         0.0948,        -0.3025,         0.2350,         0.7688
      8,         0.0292,       -50.0361,         0.0950,         0.0948,         0.0948,        -0.3388,         0.1825,         0.7054
      9,         0.0194,       -50.2603,         0.0949,         0.0948,         0.0948,        -0.4312,         0.1042,         0.6321
     10,         0.0102,       -50.4574,         0.0948,         0.0948,         0.0948,        -0.3654,         0.1829,         0.7167
     11,         0.0093,       -50.6210,         0.0947,         0.0948,         0.0948,        -0.2683,         0.2554,         0.7729
     12,         0.0121,       -50.8203,         0.0946,         0.0948,         0.0948,        -0.2504,         0.2529,         0.7587
     13,         0.0112,       -51.0509,         0.0945,         0.0948,         0.0948,        -0.2225,         0.2625,         0.7575
     14,         0.0110,       -51.1997,         0.0944,         0.0948,         0.0948,        -0.2312,         0.2408,         0.7233
     15,         0.0227,       -51.3409,         0.0943,         0.0948,         0.0948,        -0.2713,         0.1812,         0.6513
     16,         0.0130,       -51.5559,         0.0942,         0.0948,         0.0948,        -0.3354,         0.1333,         0.6138
     17,         0.0090,       -51.7731,         0.0941,         0.0948,         0.0948,        -0.2333,         0.2321,         0.7017
     18,         0.0197,       -52.0314,         0.0940,         0.0948,         0.0948,        -0.2867,         0.1637,         0.6250
     19,         0.0122,       -52.2747,         0.0939,         0.0947,         0.0948,        -0.3113,         0.1496,         0.6179
     20,         0.0084,       -52.5128,         0.0938,         0.0947,         0.0948,        -0.3471,         0.1008,         0.5600
     21,         0.0068,       -52.7150,         0.0937,         0.0948,         0.0948,        -0.5250,        -0.0517,         0.4192
     22,         0.0242,       -52.9015,         0.0936,         0.0947,         0.0948,        -0.4496,         0.0229,         0.4921
     23,         0.0069,       -53.1339,         0.0935,         0.0947,         0.0948,        -0.4942,         0.0042,         0.4863
     24,         0.0115,       -53.3657,         0.0934,         0.0947,         0.0948,        -0.2971,         0.1804,         0.6475
     25,         0.0137,       -53.5007,         0.0933,         0.0948,         0.0948,        -0.2662,         0.1917,         0.6467
     26,         0.0174,       -53.6515,         0.0932,         0.0948,         0.0948,        -0.2142,         0.2246,         0.6679
     27,         0.0144,       -53.8121,         0.0931,         0.0948,         0.0948,        -0.1796,         0.2400,         0.6725
     28,         0.0099,       -53.9860,         0.0930,         0.0948,         0.0948,        -0.1763,         0.2304,         0.6500
     29,         0.0154,       -54.1004,         0.0930,         0.0948,         0.0948,        -0.1708,         0.2208,         0.6342
     30,         0.0152,       -54.2440,         0.0929,         0.0948,         0.0948,        -0.2412,         0.1467,         0.5567
     31,         0.0085,       -54.5375,         0.0927,         0.0947,         0.0948,        -0.2779,         0.1154,         0.5217
     32,         0.0236,       -54.8687,         0.0926,         0.0947,         0.0948,        -0.3262,         0.0779,         0.4908
     33,         0.0113,       -55.2668,         0.0924,         0.0947,         0.0948,        -0.4121,         0.0183,         0.4471
     34,         0.0088,       -55.8822,         0.0922,         0.0946,         0.0948,        -0.2992,         0.1483,         0.5842
