 sdoy, GPP_d, NEE_d, Reco_d, QC1, GL_yr, QC2, GW_yr, QC3, GR_yr, QC678, pheno, LAI,NPP_d,Rh_d, Ra_d
      1,         0.0000,         0.5576,         0.5576,       163.2336,       468.8905,       164.1573,     84252.0312,       182.6585,       282.4179,    156537.3750,       136.0000,       274.7581,         0.0000,         0.4797,         0.0778
      2,         0.0052,         0.5125,         0.5177,       162.8042,       468.8931,       164.0932,     84251.8438,       182.4044,       282.8213,    156537.1875,       136.0000,       274.7888,         0.0000,         0.4763,         0.0414
      3,         0.0006,         0.4901,         0.4907,       162.3758,       468.8960,       164.0291,     84251.6562,       182.1507,       283.2265,    156537.0000,       136.0000,       274.8199,         0.0000,         0.4711,         0.0196
      4,         0.0085,         0.4842,         0.4928,       161.9486,       468.8989,       163.9651,     84251.4688,       181.8974,       283.6291,    156536.8125,       136.0000,       274.8509,         0.0000,         0.4725,         0.0203
      5,         0.0142,         0.4955,         0.5097,       161.5225,       468.9021,       163.9014,     84251.2812,       181.6444,       284.0258,    156536.6250,       136.0000,       274.8815,         0.0000,         0.4782,         0.0315
      6,         0.0033,         0.4875,         0.4908,       161.0975,       468.9055,       163.8376,     84251.0938,       181.3920,       284.4229,    156536.4375,       136.0000,       274.9123,         0.0000,         0.4750,         0.0159
      7,         0.0015,         0.4924,         0.4939,       160.6737,       468.9091,       163.7739,     84250.9062,       181.1399,       284.8159,    156536.2500,       136.0000,       274.9431,         0.0000,         0.4781,         0.0158
      8,         0.0073,         0.4748,         0.4821,       160.2510,       468.9132,       163.7102,     84250.7188,       180.8885,       285.2089,    156536.0781,       136.0000,       274.9738,         0.0000,         0.4753,         0.0068
      9,         0.0135,         0.4608,         0.4743,       159.8293,       468.9175,       163.6465,     84250.5312,       180.6375,       285.6024,    156535.8906,       136.0000,       275.0049,         0.0000,         0.4724,         0.0019
     10,         0.0147,         0.4613,         0.4760,       159.4088,       468.9219,       163.5827,     84250.3438,       180.3870,       285.9917,    156535.7188,       136.0000,       275.0357,         0.0000,         0.4760,         0.0001
     11,         0.0380,         0.4407,         0.4787,       158.9894,       468.9264,       163.5194,     84250.1562,       180.1370,       286.3767,    156535.5312,       136.0000,       275.0665,         0.0000,         0.4787,         0.0000
     12,         0.0361,         0.4426,         0.4788,       158.5711,       468.9314,       163.4560,     84249.9688,       179.8875,       286.7602,    156535.3438,       136.0000,       275.0972,         0.0000,         0.4788,         0.0000
     13,         0.0255,         0.4536,         0.4791,       158.1539,       468.9365,       163.3927,     84249.7812,       179.6385,       287.1415,    156535.1562,       136.0000,       275.1280,         0.0000,         0.4791,         0.0000
     14,         0.0081,         0.4697,         0.4778,       157.7378,       468.9421,       163.3293,     84249.5938,       179.3900,       287.5215,    156534.9844,       136.0000,       275.1583,         0.0000,         0.4778,         0.0000
     15,         0.0061,         0.4687,         0.4748,       157.3228,       468.9478,       163.2660,     84249.4062,       179.1419,       287.9018,    156534.7969,       136.0000,       275.1884,         0.0000,         0.4748,         0.0000
     16,         0.0040,         0.4683,         0.4723,       156.9089,       468.9538,       163.2026,     84249.2188,       178.8943,       288.2818,    156534.6250,       136.0000,       275.2187,         0.0000,         0.4723,         0.0000
     17,         0.0000,         0.4767,         0.4767,       156.4961,       468.9601,       163.1396,     84249.0312,       178.6472,       288.6567,    156534.4375,       136.0000,       275.2487,         0.0000,         0.4767,         0.0000
     18,         0.0049,         0.4685,         0.4733,       156.0843,       468.9665,       163.0766,     84248.8438,       178.4007,       289.0322,    156534.2500,       136.0000,       275.2789,         0.0000,         0.4733,         0.0000
     19,         0.0084,         0.4638,         0.4722,       155.6736,       468.9733,       163.0137,     84248.6562,       178.1546,       289.4062,    156534.0781,       136.0000,       275.3093,         0.0000,         0.4722,         0.0000
     20,         0.0027,         0.4676,         0.4703,       155.2641,       468.9803,       162.9507,     84248.4688,       177.9091,       289.7800,    156533.8906,       136.0000,       275.3397,         0.0000,         0.4703,         0.0000
     21,         0.0000,         0.4636,         0.4636,       154.8556,       468.9868,       162.8877,     84248.2812,       177.6640,       290.1570,    156533.7188,       136.0000,       275.3706,         0.0000,         0.4636,         0.0000
     22,         0.0037,         0.4637,         0.4674,       154.4481,       468.9936,       162.8248,     84248.0938,       177.4195,       290.5300,    156533.5312,       136.0000,       275.4012,         0.0000,         0.4674,         0.0000
     23,         0.0000,         0.4661,         0.4661,       154.0418,       469.0006,       162.7622,     84247.9062,       177.1754,       290.9016,    156533.3438,       136.0000,       275.4318,         0.0000,         0.4661,         0.0000
